"CellType","marker"
"B cell","CD79A"
"B cell","CD37"
"B cell","CD79B"
"B cell","VPREB3"
"B cell","SMIM14"
"B cell","ADAM28"
"B cell","ORAI2"
"B cell","TNFRSF13C"
"B cell","LINC00926"
"B cell","RALGPS2"
"B cell","BLNK"
"B cell","AIM2"
"B cell","LAPTM5"
"B cell","ARHGAP24"
"B cell","POU2F2"
"B cell","GNG7"
"B cell","LY9"
"B cell","HVCN1"
"B cell","RPL39"
"B cell","FAU"
"B cell","IRF8"
"B cell","NCF1"
"B cell","SPIB"
"B cell","BCL11A"
"B cell","CD74"
"B cell","HLA-DRA"
"B cell","RPL13A"
"B cell","RPLP2"
"B cell","RPS6"
"B cell","HLA-DPA1"
"B cell","RPL18A"
"B cell","RPS23"
"B cell","RPS8"
"B cell","HLA-DQB1"
"B cell","HLA-DQA1"
"B cell","EEF1B2"
"B cell","MEF2C"
"B cell","LY86"
"B cell","BCAS4"
"B cell","CPNE5"
"B cell","RPS27"
"B cell","RPL34"
"B cell","RPL21"
"B cell","RPL32"
"B cell","HLA-DPB1"
"B cell","RPL11"
"B cell","RPL19"
"B cell","RPL12"
"B cell","RPL8"
"B cell","RPS20"
"B cell","RPS5"
"B cell","RPS11"
"B cell","HLA-DMB"
"B cell","AFF3"
"B cell","CYB561A3"
"B cell","SWAP70"
"B cell","DRAM2"
"B cell","SCIMP"
"B cell","CD180"
"B cell","RPS18"
"B cell","RPS29"
"B cell","RPS15A"
"B cell","RPL23A"
"B cell","RPL27A"
"B cell","RPS25"
"B cell","RPL26"
"B cell","RPL9"
"B cell","CD83"
"B cell","PLD4"
"B cell","RNASE6"
"B cell","TMEM243"
"B cell","BTK"
"B cell","GAPT"
"B cell","STX7"
"B cell","CLECL1"
"B cell","LYL1"
"B cell","RPL13"
"B cell","RPS12"
"B cell","RPL41"
"B cell","RPS27A"
"B cell","HLA-DRB1"
"B cell","RPS3A"
"B cell","RPS28"
"B cell","RPL31"
"B cell","RPS16"
"B cell","RPL10A"
"B cell","RPSA"
"B cell","RPS21"
"B cell","HLA-DMA"
"B cell","PDLIM1"
"B cell","EBF1"
"B cell","LAT2"
"B cell","EAF2"
"B cell","SP140"
"B cell","CD40"
"B cell","STRBP"
"B cell","COBLL1"
"B cell","WDFY4"
"B cell","CD72"
"B cell","TFEB"
"B cell","P2RX5"
"B cell","RPL30"
"B cell","RPS15"
"B cell","RPL35A"
"B cell","RPL36"
"B cell","RPL18"
"B cell","RPL38"
"B cell","RPS10"
"B cell","CD27"
"B cell","TPD52"
"B cell","FGD2"
"B cell","RPS2"
"B cell","RPS3"
"B cell","RPL3"
"B cell","BTG1"
"B cell","RPL15"
"B cell","RPL29"
"B cell","RPS9"
"B cell","RPL14"
"B cell","LTB"
"B cell","RPL27"
"B cell","CD52"
"B cell","RPL5"
"B cell","SPI1"
"B cell","CTSH"
"B cell","CCR7"
"B cell","STK17A"
"B cell","PHACTR1"
"B cell","BASP1"
"B cell","PRKCB"
"B cell","PKIG"
"B cell","SNX2"
"B cell","SYK"
"B cell","TMEM156"
"B cell","KYNU"
"B cell","HHEX"
"B cell","QRSL1"
"B cell","SNX22"
"B cell","EEF1A1"
"B cell","RPL10"
"B cell","RPL28"
"B cell","CXCR4"
"B cell","RPS7"
"B cell","GPR183"
"B cell","CD69"
"B cell","RPL4"
"B cell","TCF4"
"B cell","ISG20"
"B cell","LIMD2"
"B cell","CD48"
"B cell","ACAP1"
"B cell","CLEC2D"
"B cell","SELL"
"B cell","RHOH"
"B cell","CYBB"
"B cell","SP100"
"B cell","SIT1"
"B cell","LYN"
"B cell","RCSD1"
"B cell","INPP5D"
"B cell","SMARCB1"
"B cell","HSH2D"
"B cell","RASGRP2"
"B cell","CCR6"
"B cell","OSBPL10"
"B cell","RPLP1"
"B cell","RPS14"
"B cell","RPS13"
"B cell","RPL37"
"B cell","RPL35"
"B cell","CYBA"
"B cell","TSC22D3"
"B cell","SEL1L3"
"B cell","ST6GAL1"
"B cell","CHI3L2"
"B cell","P2RY10"
"B cell","NCR3"
"B cell","HLA-DOA"
"B cell","ANKRD44"
"B cell","ZCCHC7"
"B cell","NCOA3"
"B cell","MGAT5"
"B cell","PLEKHF2"
"B cell","USP6NL"
"B cell","CD1C"
"B cell","SIDT1"
"B cell","STAG3"
"B cell","MBD4"
"B cell","ZNF581"
"B cell","FCHSD2"
"B cell","PLCG2"
"B cell","SMDT1"
"B cell","BACH2"
"B cell","PPM1K"
"B cell","PARP1"
"B cell","RIC3"
"B cell","TBC1D22A"
"B cell","TMEM154"
"B cell","SP110"
"B cell","TEX9"
"B cell","PRDM2"
"B cell","ANKRD13A"
"B cell","DOK3"
"B cell","TSPAN33"
"B cell","DERL3"
"B cell","CCDC50"
"B cell","GGA2"
"B cell","RHBDF2"
"B cell","SYVN1"
"B cell","RABEP2"
"B cell","C16orf74"
"B cell","ZFAS1"
"B cell","CDK14"
"B cell","CD55"
"B cell","IFT57"
"B cell","TNFAIP8"
"B cell","ALOX5"
"B cell","DENND5B"
"B cell","KDM4C"
"B cell","PXK"
"B cell","RASGRP3"
"B cell","SIGLEC10"
"B cell","CDCA7L"
"B cell","TAF4B"
"B cell","HERPUD1"
"B cell","CTSS"
"B cell","BCL2A1"
"B cell","IFI30"
"B cell","ADK"
"B cell","CD86"
"B cell","RAB30"
"B cell","RRAS2"
"B cell","CIITA"
"B cell","LILRB1"
"B cell","AP1S3"
"B cell","CCSER1"
"B cell","SEMA7A"
"B cell","DENND3"
"B cell","MNDA"
"B cell","ADAM19"
"B cell","DAPP1"
"B cell","GRAP"
"B cell","MZB1"
"B cell","TBC1D10C"
"B cell","SSPN"
"B cell","UVRAG"
"B cell","NCF4"
"B cell","PIK3AP1"
"B cell","PPP1R16B"
"B cell","PLEK"
"B cell","CAMK1D"
"B cell","SYPL1"
"B cell","ZNF532"
"B cell","SETBP1"
"B cell","TRAF5"
"B cell","CXorf21"
"B cell","FADS3"
"B cell","NEIL1"
"B cell","RNGTT"
"B cell","PIKFYVE"
"B cell","EVI2B"
"B cell","MYCBP2"
"B cell","ITSN2"
"B cell","DMXL1"
"B cell","MDM4"
"B cell","POLD4"
"B cell","TRIM38"
"B cell","ALG13"
"B cell","ATP2A3"
"B cell","ZNF439"
"B cell","RPL7A"
"B cell","RPL17"
"B cell","UBE2J1"
"B cell","TBC1D5"
"B cell","LSM7"
"B cell","MICAL3"
"B cell","KDM4B"
"B cell","SNX29"
"B cell","ZDHHC21"
"B cell","SIPA1L3"
"B cell","NGLY1"
"B cell","HIP1R"
"B cell","NUP88"
"B cell","METTL21A"
"B cell","LHPP"
"B cell","CEPT1"
"B cell","GSAP"
"B cell","ARHGAP15"
"B cell","ZDHHC14"
"B cell","ATP2B1"
"B cell","FAM214A"
"B cell","ICOSLG"
"B cell","MPEG1"
"B cell","HDAC9"
"B cell","CD1D"
"B cell","KMO"
"B cell","ARL11"
"B cell","THEMIS2"
"B cell","LTA"
"B cell","PIK3C2B"
"B cell","MS4A7"
"B cell","BHLHE41"
"B cell","PAWR"
"B cell","NT5E"
"B cell","NRROS"
"B cell","ZNF296"
"B cell","LCK"
"B cell","PTPRK"
"B cell","TLE1"
"B cell","TTN"
"B cell","TSPAN13"
"B cell","MOB3B"
"B cell","PCED1B"
"B cell","CENPM"
"B cell","CYSLTR1"
"B cell","MCTP2"
"B cell","P2RY8"
"B cell","TNFSF9"
"B cell","RAB37"
"B cell","SEMA4B"
"B cell","SMCHD1"
"B cell","SCAF11"
"B cell","PARP14"
"B cell","UPF2"
"B cell","ZNF791"
"B cell","ZCCHC10"
"B cell","EEF1G"
"B cell","ARRDC2"
"B cell","NFATC1"
"B cell","SYS1"
"B cell","OSGEP"
"B cell","VCPKMT"
"B cell","MAP4K2"
"B cell","MEPCE"
"B cell","ZNF92"
"B cell","PAOX"
"B cell","GCSAM"
"B cell","AP4B1"
"B cell","S1PR2"
"B cell","CBWD3"
"B cell","FANCD2"
"B cell","TEP1"
"B cell","MBNL3"
"B cell","ACSM3"
"B cell","PGBD2"
"B cell","KBTBD8"
"B cell","BEND5"
"B cell","ABCB4"
"B cell","OSBPL10-AS1"
"B cell","KCNQ5"
"B cell","ARID1B"
"B cell","KLF12"
"B cell","XKR6"
"B cell","RAD51B"
"B cell","JADE3"
"B cell","TMED8"
"B cell","PRCD"
"B cell","SIK3"
"B cell","ZHX2"
"B cell","SSH2"
"B cell","ST6GALNAC3"
"B cell","BRAF"
"B cell","KLHL6"
"B cell","STEAP1B"
"B cell","DUS2"
"B cell","CNFN"
"B cell","TNRC6B"
"B cell","AUTS2"
"B cell","ENTPD1-AS1"
"B cell","FUT8"
"B cell","PAN3"
"B cell","RFX7"
"B cell","SLC16A1-AS1"
"B cell","SESN3"
"B cell","TCOF1"
"B cell","SCFD2"
"B cell","MAP3K1"
"B cell","IQCB1"
"B cell","TMEM19"
"B cell","ANKAR"
"B cell","SMAGP"
"B cell","SNX25"
"B cell","POLM"
"B cell","MED26"
"B cell","IL7"
"B cell","MIOS"
"B cell","ZNF107"
"B cell","COCH"
"B cell","MATR3"
"B cell","PRDM4"
"B cell","NBPF11"
"B cell","CTC1"
"B cell","MACROD2"
"B cell","USP45"
"B cell","TCP11L2"
"B cell","E2F5"
"B cell","HCK"
"B cell","LINC00996"
"B cell","ADAMTS6"
"B cell","TIAM2"
"B cell","TLR1"
"B cell","TRMT2B"
"B cell","RMI2"
"B cell","IL2RA"
"B cell","BTBD9"
"B cell","KIAA1328"
"B cell","PTAFR"
"B cell","SIMC1"
"B cell","AK9"
"B cell","TFEC"
"B cell","VAV2"
"B cell","NAPSA"
"B cell","SLC7A7"
"B cell","BBS9"
"B cell","MPP6"
"B cell","MTMR1"
"B cell","SPATA5"
"B cell","GKAP1"
"B cell","CAPN12"
"B cell","TTC27"
"B cell","ITPR3"
"B cell","AMPD3"
"B cell","IL18BP"
"B cell","ANK3"
"B cell","OTUD1"
"B cell","BCL7A"
"B cell","RHBDD1"
"B cell","TBC1D9"
"B cell","PATL2"
"CD4-positive, alpha-beta T cell","RPS27"
"CD4-positive, alpha-beta T cell","RPS15A"
"CD4-positive, alpha-beta T cell","RPS3"
"CD4-positive, alpha-beta T cell","IL32"
"CD4-positive, alpha-beta T cell","CD3D"
"CD4-positive, alpha-beta T cell","KLRB1"
"CD4-positive, alpha-beta T cell","CD2"
"CD4-positive, alpha-beta T cell","IL7R"
"CD4-positive, alpha-beta T cell","CD3E"
"CD4-positive, alpha-beta T cell","TNFRSF4"
"CD4-positive, alpha-beta T cell","FXYD5"
"CD4-positive, alpha-beta T cell","BATF"
"CD4-positive, alpha-beta T cell","CD3G"
"CD4-positive, alpha-beta T cell","SPOCK2"
"CD4-positive, alpha-beta T cell","IL2RA"
"CD4-positive, alpha-beta T cell","ICOS"
"CD4-positive, alpha-beta T cell","CD6"
"CD4-positive, alpha-beta T cell","CD40LG"
"CD4-positive, alpha-beta T cell","CD5"
"CD4-positive, alpha-beta T cell","TNFRSF25"
"CD4-positive, alpha-beta T cell","CCR6"
"CD4-positive, alpha-beta T cell","CD28"
"CD4-positive, alpha-beta T cell","RPL13"
"CD4-positive, alpha-beta T cell","RPS12"
"CD4-positive, alpha-beta T cell","RPL32"
"CD4-positive, alpha-beta T cell","RPS29"
"CD4-positive, alpha-beta T cell","RPL28"
"CD4-positive, alpha-beta T cell","RPL11"
"CD4-positive, alpha-beta T cell","RPS25"
"CD4-positive, alpha-beta T cell","LTB"
"CD4-positive, alpha-beta T cell","RPSA"
"CD4-positive, alpha-beta T cell","GZMA"
"CD4-positive, alpha-beta T cell","CD7"
"CD4-positive, alpha-beta T cell","RORA"
"CD4-positive, alpha-beta T cell","EVL"
"CD4-positive, alpha-beta T cell","TNFRSF18"
"CD4-positive, alpha-beta T cell","LCK"
"CD4-positive, alpha-beta T cell","LEPROTL1"
"CD4-positive, alpha-beta T cell","CD247"
"CD4-positive, alpha-beta T cell","CORO1B"
"CD4-positive, alpha-beta T cell","GZMM"
"CD4-positive, alpha-beta T cell","CD96"
"CD4-positive, alpha-beta T cell","SH2D2A"
"CD4-positive, alpha-beta T cell","SH2D1A"
"CD4-positive, alpha-beta T cell","TRAT1"
"CD4-positive, alpha-beta T cell","SIRPG"
"CD4-positive, alpha-beta T cell","ZAP70"
"CD4-positive, alpha-beta T cell","BCL11B"
"CD4-positive, alpha-beta T cell","ITK"
"CD4-positive, alpha-beta T cell","LINC00861"
"CD4-positive, alpha-beta T cell","RPL34"
"CD4-positive, alpha-beta T cell","RPLP2"
"CD4-positive, alpha-beta T cell","RPL30"
"CD4-positive, alpha-beta T cell","BTG1"
"CD4-positive, alpha-beta T cell","FYN"
"CD4-positive, alpha-beta T cell","CD27"
"CD4-positive, alpha-beta T cell","STK17A"
"CD4-positive, alpha-beta T cell","ACAP1"
"CD4-positive, alpha-beta T cell","CLEC2D"
"CD4-positive, alpha-beta T cell","SLA"
"CD4-positive, alpha-beta T cell","PIK3IP1"
"CD4-positive, alpha-beta T cell","LAT"
"CD4-positive, alpha-beta T cell","IL2RB"
"CD4-positive, alpha-beta T cell","SKAP1"
"CD4-positive, alpha-beta T cell","GPR171"
"CD4-positive, alpha-beta T cell","STAT4"
"CD4-positive, alpha-beta T cell","B2M"
"CD4-positive, alpha-beta T cell","RPS27A"
"CD4-positive, alpha-beta T cell","RPL36"
"CD4-positive, alpha-beta T cell","RPL14"
"CD4-positive, alpha-beta T cell","CD69"
"CD4-positive, alpha-beta T cell","PTPRC"
"CD4-positive, alpha-beta T cell","DUSP4"
"CD4-positive, alpha-beta T cell","IL2RG"
"CD4-positive, alpha-beta T cell","ITM2A"
"CD4-positive, alpha-beta T cell","CCR7"
"CD4-positive, alpha-beta T cell","GIMAP7"
"CD4-positive, alpha-beta T cell","SELL"
"CD4-positive, alpha-beta T cell","TUBA4A"
"CD4-positive, alpha-beta T cell","TBC1D10C"
"CD4-positive, alpha-beta T cell","SIT1"
"CD4-positive, alpha-beta T cell","CD4"
"CD4-positive, alpha-beta T cell","PRKCH"
"CD4-positive, alpha-beta T cell","PYHIN1"
"CD4-positive, alpha-beta T cell","OXNAD1"
"CD4-positive, alpha-beta T cell","RCAN3"
"CD4-positive, alpha-beta T cell","RPL23A"
"CD4-positive, alpha-beta T cell","RPL19"
"CD4-positive, alpha-beta T cell","RPL9"
"CD4-positive, alpha-beta T cell","RPL10A"
"CD4-positive, alpha-beta T cell","RPL18"
"CD4-positive, alpha-beta T cell","RPL38"
"CD4-positive, alpha-beta T cell","CD52"
"CD4-positive, alpha-beta T cell","CST7"
"CD4-positive, alpha-beta T cell","ISG20"
"CD4-positive, alpha-beta T cell","GMFG"
"CD4-positive, alpha-beta T cell","CYTIP"
"CD4-positive, alpha-beta T cell","RHOH"
